Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
149,Lehigh,21,5,16,.238,-11.72,-2.35,2,7,4,4,1,12,1422,1544,,70.1,96.1,.251,.285,.522,49.8,46.7,8.1,7.5,.491,17.8,25.7,.186
150,Liberty,23,20,3,.870,6.45,-6.17,6,2,10,0,4,3,1564,1194,,61.4,110.8,.308,.404,.574,53.4,52.6,9.1,9.6,.549,13.9,25.3,.217
151,Lipscomb,21,8,13,.381,-8.74,-3.53,3,5,5,4,3,9,1499,1525,,70.4,100.8,.289,.371,.528,48.6,51.4,7.9,7.1,.501,16.2,27.1,.198
152,Cal State Long Beach,22,7,15,.318,-8.63,3.12,2,4,5,4,1,9,1497,1685,,73.3,92.8,.322,.304,.523,47.3,44.8,8.5,10.9,.492,20.8,26.0,.221
153,Long Island University,21,10,11,.476,-7.05,-5.10,5,3,5,3,4,7,1639,1637,,75.0,102.3,.324,.487,.560,45.7,54.3,9.1,8.1,.532,16.9,21.1,.229
154,Longwood,22,7,15,.318,-13.58,-8.53,2,7,4,5,3,10,1485,1539,,70.0,94.9,.345,.481,.518,48.9,46.1,9.8,6.2,.477,18.5,24.1,.252
155,Louisiana,22,9,13,.409,-5.50,-0.50,4,7,6,5,2,7,1550,1627,,71.8,97.5,.352,.395,.513,50.0,45.4,8.7,8.2,.471,17.3,29.9,.255
156,Louisiana-Monroe,20,6,14,.300,-8.16,0.12,2,9,6,5,0,9,1251,1354,,66.1,94.0,.346,.332,.510,48.3,49.3,7.2,9.4,.478,18.5,26.5,.233
157,Louisiana State,20,16,4,.800,15.52,5.37,7,0,11,1,4,1,1602,1399,,71.0,112.2,.333,.330,.570,55.7,46.3,9.3,11.8,.531,16.4,37.2,.258
158,Louisiana Tech,21,16,5,.762,8.12,-2.98,7,2,10,1,6,4,1579,1282,,69.0,109.0,.287,.403,.559,52.4,52.1,11.2,7.2,.541,15.5,30.6,.188
159,Louisville,21,18,3,.857,18.41,5.69,9,1,12,1,5,1,1582,1315,,67.2,110.8,.325,.364,.563,54.5,54.3,8.1,8.9,.533,15.6,32.8,.234
160,Loyola (IL),22,14,8,.636,7.04,-0.24,6,3,9,2,3,4,1522,1338,,66.5,103.5,.365,.307,.585,50.1,57.4,11.5,6.3,.562,18.2,19.4,.249
161,Loyola Marymount,22,8,14,.364,-1.77,2.80,2,6,7,5,0,7,1439,1492,,65.3,100.1,.326,.358,.543,49.7,49.7,9.5,7.4,.522,18.0,27.8,.210
162,Loyola (MD),22,9,13,.409,-11.37,-6.61,1,8,5,3,3,10,1603,1676,,71.1,101.3,.411,.376,.545,48.4,62.2,9.7,8.1,.524,16.9,25.1,.255
163,Maine,21,6,15,.286,-13.55,-2.90,2,5,4,4,1,11,1287,1460,,65.9,92.0,.274,.437,.503,50.1,64.9,9.9,9.9,.473,20.1,28.0,.192
164,Manhattan,17,8,9,.471,-7.40,-6.34,4,4,4,3,4,6,1084,1102,,67.9,92.6,.328,.427,.492,48.0,61.9,10.4,10.0,.465,17.4,26.2,.206
165,Marist,18,4,14,.222,-14.92,-7.09,3,6,2,6,2,8,1071,1212,,66.4,87.8,.303,.378,.466,48.4,43.3,10.1,10.3,.440,17.9,26.1,.185
166,Marquette,21,15,6,.714,15.33,7.09,5,4,10,1,3,4,1647,1474,,71.8,106.7,.400,.440,.557,52.8,53.7,7.1,11.8,.517,16.2,28.8,.293
167,Marshall,22,10,12,.455,1.98,0.64,4,5,6,6,3,6,1651,1587,,74.9,100.2,.285,.366,.528,49.3,47.9,12.1,14.9,.507,17.9,30.6,.187
168,Maryland-Baltimore County,22,9,13,.409,-10.96,-4.18,2,5,7,4,2,7,1518,1486,,69.0,99.5,.338,.396,.527,49.7,53.4,7.7,6.5,.508,16.9,26.5,.209
169,Maryland-Eastern Shore,21,2,19,.095,-22.62,-1.42,1,5,2,4,0,15,1142,1520,,69.1,78.2,.251,.401,.429,45.0,50.0,11.2,10.5,.403,19.9,24.5,.155
170,Maryland,21,17,4,.810,18.82,8.77,7,3,12,0,2,4,1518,1307,,68.4,105.6,.395,.417,.528,54.2,53.1,7.1,13.2,.482,15.0,34.0,.291
171,Massachusetts-Lowell,22,8,14,.364,-8.96,-5.01,2,5,5,7,3,7,1659,1699,,72.0,102.9,.348,.355,.551,48.2,56.3,9.7,6.7,.518,16.7,26.5,.249
172,Massachusetts,21,9,12,.429,0.07,2.07,3,5,8,3,1,6,1482,1524,,70.5,98.9,.324,.410,.530,46.8,54.0,10.0,8.1,.500,17.1,25.5,.223
173,McNeese State,21,12,9,.571,-6.22,-4.58,7,3,9,2,3,7,1707,1524,,72.3,111.7,.346,.377,.615,52.8,56.9,9.7,12.2,.593,20.0,32.0,.247
174,Memphis,20,15,5,.750,13.05,2.95,4,3,10,2,4,2,1474,1272,,74.0,99.5,.375,.331,.539,53.7,55.6,11.3,17.0,.509,19.9,32.4,.252
175,Mercer,22,11,11,.500,-4.72,-3.12,5,4,6,4,5,5,1597,1570,,71.2,102.0,.279,.346,.549,52.9,52.0,9.5,8.0,.520,18.6,31.1,.203
176,Merrimack,22,14,8,.636,-7.53,-5.43,8,1,6,2,7,5,1387,1337,,64.8,96.2,.263,.428,.514,44.2,53.4,16.0,7.2,.485,16.4,23.7,.185
177,Miami (FL),20,11,9,.550,5.66,8.41,3,7,6,3,3,4,1434,1489,,69.3,102.2,.276,.356,.536,46.5,39.6,8.3,8.9,.504,15.4,24.6,.205
178,Miami (OH),20,9,11,.450,-4.47,-0.75,2,5,7,4,1,5,1492,1457,,70.6,105.7,.257,.411,.541,49.3,48.4,7.3,7.7,.512,14.7,27.0,.191
179,Michigan State,21,16,5,.762,22.86,8.24,8,2,10,1,3,2,1621,1314,,69.7,110.6,.333,.369,.562,56.4,68.8,7.4,14.0,.525,15.6,34.7,.251
180,Michigan,20,12,8,.600,16.21,9.06,3,6,8,3,1,5,1534,1391,,70.1,107.3,.250,.394,.559,50.5,52.8,8.0,10.3,.537,14.2,25.6,.177
181,Middle Tennessee,22,5,17,.227,-9.62,2.01,1,8,4,6,1,8,1571,1672,,72.3,98.2,.318,.401,.516,49.3,51.6,9.5,8.9,.488,16.7,27.7,.213
182,Milwaukee,21,10,11,.476,-6.73,-2.94,5,4,7,3,2,6,1520,1532,,71.1,99.5,.305,.379,.498,49.6,46.4,8.2,9.4,.465,15.4,31.6,.210
183,Minnesota,21,11,10,.524,15.27,11.18,5,6,9,2,1,7,1474,1388,,67.1,103.4,.289,.415,.519,52.0,58.9,7.5,11.8,.486,15.2,31.7,.208
184,Mississippi State,20,13,7,.650,13.75,5.90,4,3,9,2,2,3,1460,1303,,66.7,109.4,.369,.297,.552,56.1,51.5,9.1,14.3,.512,17.6,40.0,.273
185,Mississippi Valley State,19,1,18,.053,-30.08,-3.87,1,6,0,3,1,15,1261,1759,,79.4,83.6,.208,.405,.441,41.6,40.0,8.1,6.8,.418,15.8,22.6,.134
186,Mississippi,20,10,10,.500,5.53,4.53,1,6,7,4,1,5,1376,1356,,68.8,98.8,.365,.355,.525,49.9,57.0,10.6,7.7,.487,17.1,26.7,.258
187,Missouri-Kansas City,22,11,11,.500,-5.67,-0.20,3,4,7,2,2,7,1569,1489,,68.4,101.9,.288,.349,.544,48.3,52.2,11.6,9.6,.522,17.0,25.7,.193
188,Missouri State,22,10,12,.455,0.27,0.37,4,5,7,3,2,7,1477,1479,,68.2,98.5,.287,.343,.522,53.4,46.7,8.7,8.0,.486,18.0,30.3,.215
189,Missouri,20,10,10,.500,8.51,4.56,2,5,8,3,1,5,1331,1252,,66.8,99.0,.335,.429,.525,50.7,51.7,11.0,9.1,.479,18.4,30.1,.259
190,Monmouth,20,12,8,.600,-5.26,-4.61,6,3,7,0,4,7,1398,1411,,71.8,97.4,.335,.358,.514,47.1,55.3,11.0,7.8,.474,16.3,24.6,.246
191,Montana State,20,11,9,.550,-3.94,-1.94,5,4,5,3,4,6,1351,1318,,69.0,97.9,.342,.343,.541,51.0,46.9,8.6,6.1,.500,18.3,22.0,.257
192,Montana,21,11,10,.524,-1.18,0.08,7,3,8,1,3,9,1455,1467,,70.6,97.0,.262,.277,.529,47.5,45.3,8.7,9.9,.501,16.2,20.7,.187
193,Morehead State,22,10,12,.455,-10.68,-6.58,4,5,9,2,1,10,1538,1516,,69.2,99.9,.295,.323,.513,50.7,53.2,9.4,12.4,.490,15.5,29.1,.190
194,Morgan State,23,11,12,.478,-12.49,-6.84,5,3,6,3,5,6,1623,1649,,71.6,97.0,.373,.322,.506,52.0,45.6,7.6,11.8,.465,18.7,34.3,.261
195,Mount St. Mary's,21,9,12,.429,-7.16,-5.76,5,3,7,3,2,9,1345,1356,,64.8,97.0,.323,.387,.492,51.0,46.9,7.9,9.8,.457,15.4,30.0,.221
196,Murray State,21,16,5,.762,1.74,-6.79,9,0,11,0,4,3,1633,1370,,69.4,110.8,.415,.326,.581,55.9,55.9,7.6,10.2,.547,16.7,31.0,.297
197,Navy,20,12,8,.600,-4.94,-5.94,6,3,8,3,4,5,1285,1235,,62.0,101.7,.349,.407,.519,54.2,53.5,8.2,4.4,.484,16.9,33.9,.243
198,Omaha,22,12,10,.545,-4.14,-0.10,5,2,10,0,2,9,1610,1676,,70.5,102.5,.275,.300,.533,49.9,46.0,7.1,8.9,.506,15.7,27.6,.193
199,Nebraska,21,7,14,.333,4.07,7.35,2,8,5,6,0,7,1514,1583,,72.0,97.9,.309,.408,.506,43.6,55.7,8.7,6.1,.488,13.5,21.5,.186
200,Nevada-Las Vegas,22,11,11,.500,4.98,3.11,6,3,9,5,2,5,1576,1535,,66.2,104.6,.365,.405,.534,56.1,51.4,8.2,9.5,.495,17.6,36.8,.262
201,Nevada,22,13,9,.591,8.83,4.69,6,4,9,2,1,6,1676,1585,,71.6,106.4,.281,.430,.556,50.9,56.8,7.0,10.6,.524,14.7,24.8,.211
202,New Hampshire,20,10,10,.500,-8.80,-6.08,3,4,7,2,3,8,1384,1315,,71.0,96.2,.258,.423,.503,55.0,53.5,6.8,6.1,.482,17.4,29.9,.166
203,New Mexico State,22,16,6,.727,2.95,-2.30,7,0,8,1,5,3,1558,1333,,65.8,107.0,.309,.470,.563,55.4,58.0,9.7,5.9,.538,18.3,33.4,.215
204,New Mexico,23,16,7,.696,3.07,0.80,5,5,13,1,2,5,1817,1746,,73.8,107.1,.417,.330,.576,50.5,55.2,10.7,8.4,.540,17.9,28.8,.299
205,New Orleans,21,6,15,.286,-13.39,-1.39,2,9,5,6,1,9,1593,1615,,73.6,103.1,.372,.273,.548,48.3,56.4,11.3,5.9,.503,16.9,28.7,.283
206,Niagara,19,6,13,.316,-10.43,-2.16,4,4,4,2,2,11,1265,1422,,67.4,98.1,.226,.370,.523,40.9,51.4,9.8,7.3,.495,14.4,19.0,.170
207,Nicholls State,22,14,8,.636,-3.71,-3.88,8,3,8,1,5,6,1683,1494,,73.8,102.5,.256,.379,.527,49.1,45.1,14.3,10.1,.495,16.3,31.4,.192
208,NJIT,21,7,14,.333,-10.22,-4.72,4,4,4,4,3,10,1356,1438,,67.2,96.1,.291,.342,.495,49.0,47.6,8.3,7.3,.465,14.8,25.8,.197
209,Norfolk State,21,10,11,.476,-6.56,-5.79,6,0,7,2,2,8,1474,1357,,69.3,100.6,.327,.389,.524,51.8,53.3,11.1,6.3,.490,17.6,31.8,.232
210,North Alabama,21,10,11,.476,-8.30,-4.93,5,3,7,2,3,9,1434,1439,,70.7,96.5,.390,.380,.527,50.2,47.5,9.1,6.6,.489,19.1,27.0,.272
211,North Carolina-Asheville,20,9,11,.450,-8.52,-7.47,3,6,5,5,4,6,1527,1480,,72.1,105.2,.290,.397,.545,45.7,40.5,12.3,6.0,.526,14.4,25.5,.189
212,North Carolina A&T,22,10,12,.455,-9.63,-4.44,6,1,6,1,3,9,1553,1600,,74.8,93.3,.392,.318,.495,48.4,54.4,11.0,10.2,.467,17.7,28.1,.241
213,North Carolina Central,20,8,12,.400,-11.29,-5.05,4,2,6,0,2,12,1348,1304,,70.3,95.3,.325,.330,.527,48.7,52.9,13.4,9.1,.500,20.3,29.3,.216
214,North Carolina-Greensboro,22,17,5,.773,7.90,-1.00,7,2,10,3,7,2,1614,1306,,68.5,105.9,.244,.431,.518,52.6,45.4,14.2,13.4,.500,14.2,34.4,.156
215,North Carolina State,21,14,7,.667,11.08,4.70,5,5,11,2,3,4,1570,1436,,70.0,106.2,.279,.362,.534,49.7,48.8,10.7,12.2,.506,13.9,29.0,.197
216,North Carolina-Wilmington,23,7,16,.304,-10.32,-0.27,2,8,5,6,1,9,1603,1668,,69.9,98.6,.310,.347,.524,48.1,49.9,8.7,8.2,.492,16.4,25.3,.218
217,North Carolina,20,10,10,.500,8.83,8.03,3,6,5,5,2,4,1431,1415,,70.4,99.7,.332,.300,.492,56.1,56.5,8.0,11.2,.461,15.3,35.4,.217
218,North Dakota State,22,15,7,.682,0.55,-3.85,6,2,9,1,5,5,1609,1427,,67.6,108.3,.310,.461,.561,52.7,48.7,7.5,6.1,.522,13.4,23.3,.242
219,North Dakota,23,10,13,.435,-6.60,-1.30,4,5,6,1,3,11,1738,1695,,71.0,106.4,.347,.402,.571,52.8,50.8,6.5,5.6,.530,17.3,27.6,.270
220,North Florida,23,13,10,.565,-1.81,-0.90,6,2,8,1,4,8,1779,1714,,70.7,109.3,.258,.526,.568,49.3,57.2,7.1,7.4,.540,16.0,28.9,.196
221,North Texas,22,14,8,.636,8.79,2.54,8,1,10,2,4,4,1567,1365,,65.9,108.1,.303,.406,.584,53.0,49.6,10.6,8.2,.555,18.6,30.6,.225
222,Northeastern,22,11,11,.500,2.32,-3.59,5,5,4,5,6,4,1596,1466,,66.5,108.4,.252,.405,.588,50.7,50.3,11.5,5.1,.559,16.5,23.3,.199
223,Northern Arizona,18,11,7,.611,-2.70,-1.39,5,4,6,2,4,5,1301,1212,,68.4,105.7,.302,.356,.548,51.2,52.3,10.2,6.2,.521,15.8,28.6,.211
224,Northern Colorado,20,13,7,.650,4.41,-2.48,6,3,8,1,3,5,1486,1251,,66.7,110.1,.285,.478,.556,51.6,49.2,8.1,5.7,.534,13.2,26.3,.195
225,Northern Illinois,21,12,9,.571,-2.31,-2.86,5,3,7,3,5,6,1410,1351,,67.4,99.7,.284,.372,.500,53.5,43.0,8.4,8.1,.471,15.5,32.1,.192
226,Northern Iowa,21,18,3,.857,11.94,2.73,7,2,12,0,5,2,1622,1366,,66.7,114.4,.282,.438,.603,55.4,45.0,6.7,5.6,.576,16.8,30.2,.216
227,Northern Kentucky,21,14,7,.667,1.32,-3.42,6,3,8,2,6,5,1550,1380,,69.1,105.6,.324,.461,.550,49.9,55.6,11.5,5.4,.524,16.9,30.0,.221
228,Northwestern State,19,8,11,.421,-12.58,-5.08,5,5,5,3,3,8,1380,1426,,74.4,97.0,.321,.381,.531,51.4,51.4,7.4,12.5,.494,20.5,30.5,.236
229,Northwestern,20,6,14,.300,5.58,8.23,1,9,4,7,1,6,1310,1363,,66.9,97.9,.273,.347,.511,48.5,57.6,6.7,7.9,.474,14.8,23.8,.206
230,Notre Dame,20,12,8,.600,10.91,2.96,3,6,10,3,2,4,1532,1373,,70.0,108.7,.259,.452,.535,50.1,64.2,8.7,10.1,.506,12.0,28.7,.189
231,Oakland,22,7,15,.318,-6.67,-1.10,2,7,3,5,2,8,1424,1513,,67.1,95.4,.364,.372,.508,50.0,59.7,9.1,9.2,.472,18.3,28.9,.248
232,Ohio State,20,13,7,.650,18.95,7.35,3,6,9,2,2,4,1461,1229,,67.7,107.9,.380,.421,.569,54.2,57.3,6.9,11.1,.535,17.5,31.4,.274
233,Ohio,21,10,11,.476,-2.31,-0.21,2,6,6,5,3,4,1497,1460,,68.5,104.0,.278,.421,.544,51.4,56.7,8.8,7.1,.524,16.6,29.4,.184
234,Oklahoma State,20,10,10,.500,10.37,8.82,0,7,5,6,3,3,1332,1301,,69.1,96.3,.320,.366,.500,49.9,50.3,10.6,12.6,.461,16.3,28.3,.230
235,Oklahoma,20,13,7,.650,11.35,8.20,3,4,8,1,2,5,1418,1355,,70.4,100.7,.311,.381,.521,48.8,47.9,9.1,11.3,.480,13.5,22.0,.236
236,Old Dominion,22,9,13,.409,0.15,0.24,5,4,7,3,2,7,1398,1400,,67.2,94.6,.262,.316,.477,53.6,41.5,10.8,11.0,.445,15.6,31.1,.183
237,Oral Roberts,21,11,10,.524,1.67,0.37,4,4,8,1,3,9,1651,1510,,71.2,110.5,.296,.392,.537,53.2,44.6,8.8,6.3,.502,13.1,34.2,.220
238,Oregon State,21,13,8,.619,8.98,3.08,3,6,8,3,3,4,1557,1433,,68.0,109.0,.408,.327,.564,49.9,57.3,9.5,15.6,.523,14.8,27.2,.301
239,Oregon,22,18,4,.818,18.14,8.19,7,2,12,0,4,2,1707,1488,,67.0,112.0,.310,.360,.571,51.6,51.6,11.4,9.4,.548,15.3,32.9,.214
240,Pacific,24,16,8,.667,2.56,-0.63,4,4,11,3,4,4,1685,1555,,65.5,103.4,.351,.291,.530,56.5,48.2,8.5,11.9,.503,16.0,34.1,.231
241,Penn State,20,15,5,.750,16.66,6.51,5,4,11,1,2,3,1539,1336,,72.5,106.1,.319,.394,.535,50.9,51.6,12.0,14.5,.506,14.1,29.8,.220
242,Pennsylvania,15,8,7,.533,0.80,1.52,0,2,3,2,3,4,1142,1104,,73.9,103.0,.242,.452,.548,49.4,54.5,7.8,7.6,.531,16.2,24.4,.162
243,Pepperdine,22,11,11,.500,1.52,2.52,4,4,7,3,4,5,1698,1720,,72.5,105.9,.339,.383,.552,48.6,58.0,8.7,9.2,.504,15.5,27.2,.274
244,Pittsburgh,21,13,8,.619,8.97,5.45,4,6,9,4,2,4,1395,1321,,65.5,100.9,.362,.319,.508,49.2,53.5,11.4,10.8,.465,15.8,32.9,.261
245,Portland State,23,11,12,.478,-2.73,-1.97,5,6,7,2,3,10,1786,1724,,72.0,107.9,.296,.292,.523,52.3,46.4,11.3,10.4,.492,14.9,38.6,.208
246,Portland,23,9,14,.391,-5.30,0.55,1,7,7,5,2,5,1563,1614,,70.2,96.8,.346,.353,.534,46.8,57.8,7.9,10.6,.507,17.8,22.0,.231
247,Prairie View,20,10,10,.500,-4.21,-2.93,6,1,6,0,3,9,1442,1412,,73.8,97.2,.387,.246,.521,48.8,53.0,12.3,7.2,.483,18.1,28.5,.268
248,Presbyterian,22,8,14,.364,-14.70,-5.60,5,4,5,4,3,8,1459,1588,,67.5,97.7,.326,.358,.535,50.1,51.8,9.1,6.9,.503,19.5,27.2,.230
249,Princeton,15,7,8,.467,-3.41,-0.83,2,0,3,4,2,3,1093,1083,,68.2,105.9,.304,.420,.560,52.2,50.9,9.0,5.6,.533,17.3,29.9,.215
250,Providence,21,11,10,.524,9.86,5.77,4,4,8,3,2,4,1487,1401,,70.0,100.5,.342,.365,.494,51.3,60.1,12.6,10.3,.458,15.6,34.1,.232
251,Purdue,21,11,10,.524,15.58,8.58,4,6,9,2,1,6,1417,1270,,64.2,102.0,.251,.359,.499,53.4,53.9,10.0,11.7,.475,14.7,35.7,.167
252,Quinnipiac,18,10,8,.556,-6.19,-6.75,5,3,7,2,2,5,1268,1258,,68.7,102.6,.311,.507,.544,50.8,59.2,6.8,9.2,.503,16.7,27.8,.243
253,Radford,21,12,9,.571,-1.96,-2.64,7,2,6,2,5,6,1466,1357,,65.2,107.0,.314,.388,.535,51.6,49.9,8.6,7.7,.513,14.0,30.8,.203
254,Rhode Island,20,15,5,.750,10.53,4.63,7,1,9,1,5,3,1484,1366,,72.7,101.5,.349,.282,.509,50.5,47.9,12.1,10.6,.474,14.3,30.7,.238
255,Rice,22,9,13,.409,-6.17,-0.17,1,8,5,5,2,7,1603,1665,,72.4,100.7,.329,.498,.538,49.1,55.3,8.3,6.2,.507,17.0,24.9,.231
256,Richmond,21,15,6,.714,9.15,3.15,5,3,9,2,5,2,1592,1466,,69.7,107.6,.265,.381,.574,47.5,55.5,11.4,7.6,.539,14.6,21.2,.213
257,Rider,19,11,8,.579,-4.09,-5.20,5,4,5,1,4,7,1385,1364,,72.1,101.0,.415,.332,.520,53.8,53.0,9.2,7.8,.484,16.7,32.4,.278
258,Robert Morris,22,11,11,.500,-5.30,-4.96,7,2,6,2,4,9,1524,1491,,68.6,100.9,.231,.395,.524,49.9,63.6,9.2,4.9,.506,16.8,29.9,.152
259,Rutgers,21,16,5,.762,16.21,7.11,7,3,15,0,1,4,1503,1276,,68.9,103.9,.324,.306,.530,54.6,51.3,10.1,13.5,.507,16.2,33.2,.209
260,Sacramento State,18,11,7,.611,-2.33,-1.77,4,5,8,0,2,7,1095,1019,,64.1,94.9,.337,.267,.488,53.5,54.8,10.3,11.3,.443,17.4,33.2,.245
261,Sacred Heart,22,13,9,.591,-5.38,-8.10,6,3,5,2,7,6,1635,1534,,70.7,105.1,.328,.386,.537,53.9,51.8,7.9,8.8,.501,17.0,35.6,.240
262,Saint Francis (PA),21,13,8,.619,-4.85,-6.60,6,4,7,2,5,6,1635,1551,,71.4,108.4,.357,.295,.553,52.4,41.2,9.5,7.1,.514,15.4,32.5,.264
263,Saint Joseph's,21,4,17,.190,-5.71,5.63,0,8,2,7,2,7,1474,1712,,72.7,96.0,.296,.493,.494,49.0,53.8,6.4,7.2,.461,16.2,28.2,.203
264,Saint Louis,21,16,5,.762,8.25,2.35,5,3,11,2,3,2,1496,1365,,68.9,101.6,.390,.291,.502,53.9,54.1,11.0,12.7,.483,15.2,34.7,.224
265,Saint Mary's (CA),23,19,4,.826,13.37,2.96,6,2,11,2,4,1,1774,1494,,65.0,115.0,.320,.377,.594,52.3,48.1,10.4,6.1,.564,13.5,26.8,.240
266,Saint Peter's,18,8,10,.444,-5.74,-5.52,5,4,5,3,3,7,1161,1165,,68.4,93.7,.357,.340,.496,53.9,47.8,11.1,12.4,.456,21.1,36.8,.249
267,Sam Houston State,21,15,6,.714,-1.24,-5.54,8,2,10,1,5,5,1699,1490,,75.2,105.1,.296,.361,.557,49.8,58.0,12.5,9.4,.522,15.9,27.8,.226
268,Samford,23,8,15,.348,-11.24,-0.84,2,7,6,5,2,10,1730,1841,,74.1,100.3,.336,.321,.539,48.9,44.3,9.2,8.9,.505,18.5,29.4,.242
269,San Diego State,22,22,0,1.000,19.02,2.45,11,0,11,0,8,0,1650,1258,,66.7,112.4,.284,.384,.573,53.4,57.1,10.1,10.2,.543,14.4,30.2,.214
270,San Diego,23,8,15,.348,-3.67,3.05,1,7,5,6,3,6,1508,1630,,71.6,91.1,.301,.363,.496,49.7,53.3,7.8,8.6,.468,18.7,26.6,.199
271,San Francisco,23,16,7,.696,8.01,2.05,5,3,10,3,5,4,1775,1593,,69.5,109.9,.300,.452,.563,53.1,44.3,10.0,8.4,.534,16.0,31.0,.217
272,San Jose State,22,7,15,.318,-6.74,4.88,3,7,6,6,1,8,1536,1755,,73.7,94.7,.348,.438,.502,47.8,56.7,8.2,8.7,.463,16.9,26.3,.243
273,Santa Clara,23,17,6,.739,2.87,-0.32,4,4,15,2,2,4,1773,1614,,73.5,104.4,.325,.372,.568,49.4,57.9,9.2,9.9,.533,17.2,23.8,.246
274,Seattle,22,11,11,.500,-4.07,-4.02,4,3,7,3,2,7,1638,1571,,71.8,101.9,.356,.375,.514,49.9,44.0,8.0,9.2,.463,13.2,28.5,.274
275,Seton Hall,20,16,4,.800,18.38,8.23,8,0,9,1,5,2,1498,1295,,71.9,104.1,.373,.392,.547,51.0,55.8,10.6,16.5,.515,16.9,29.3,.259
276,Siena,18,9,9,.500,-3.50,-4.44,5,4,9,0,0,9,1308,1291,,69.3,102.7,.363,.333,.535,53.4,49.0,8.4,7.4,.501,16.9,30.9,.252
277,South Alabama,23,12,11,.522,-0.81,0.04,5,7,7,5,3,5,1644,1575,,67.2,105.8,.422,.309,.558,49.4,43.7,11.2,11.7,.514,15.8,27.1,.310
278,South Carolina State,19,9,10,.474,-14.12,-6.29,4,3,6,2,3,8,1345,1439,,69.5,100.5,.379,.310,.537,51.3,46.8,6.4,4.5,.486,17.9,29.6,.294
279,South Carolina Upstate,22,9,13,.409,-12.40,-4.50,4,5,6,3,3,10,1518,1617,,69.5,99.3,.333,.366,.521,47.8,47.9,8.8,7.3,.490,16.1,26.1,.227
280,South Carolina,20,12,8,.600,8.56,4.61,4,3,7,4,5,2,1424,1345,,71.6,99.4,.341,.307,.508,52.1,53.6,10.5,13.2,.487,16.2,32.7,.206
281,South Dakota State,24,16,8,.667,2.96,-3.18,7,2,12,0,4,8,1854,1678,,69.5,110.0,.314,.363,.574,53.0,48.7,7.3,7.5,.549,16.1,30.0,.220
282,South Dakota,23,15,8,.652,-1.25,-3.54,6,3,10,1,3,6,1811,1712,,70.6,111.6,.389,.327,.593,50.6,50.1,6.0,7.4,.555,13.6,21.3,.294
283,South Florida,21,9,12,.429,3.82,3.34,2,6,7,4,1,4,1307,1297,,65.8,94.0,.366,.386,.498,52.4,46.5,12.2,7.6,.472,19.4,32.1,.226
284,Southeast Missouri State,22,4,18,.182,-14.35,-2.50,0,9,3,5,0,12,1444,1665,,68.8,94.8,.356,.328,.502,47.1,44.1,7.9,6.1,.467,16.8,25.2,.241
285,Southeastern Louisiana,21,6,15,.286,-15.22,-3.00,3,7,4,4,2,10,1408,1609,,73.7,89.9,.291,.353,.489,45.5,48.1,10.9,4.6,.463,19.7,27.4,.187
286,Southern California,21,17,4,.810,11.07,4.74,6,2,9,1,5,2,1533,1400,,71.0,101.0,.393,.317,.532,53.2,58.5,9.2,14.6,.498,17.8,32.1,.267
287,SIU Edwardsville,22,5,17,.227,-15.62,-5.57,2,7,3,6,2,11,1479,1623,,70.3,95.7,.280,.308,.515,47.9,55.8,8.0,9.5,.489,17.4,25.0,.189
288,Southern Illinois,22,12,10,.545,0.88,-0.21,6,3,10,1,1,7,1378,1327,,64.3,97.5,.325,.424,.537,46.6,56.9,10.2,5.7,.503,17.7,21.0,.235
289,Southern Methodist,20,15,5,.750,8.58,0.88,5,3,11,1,4,4,1497,1343,,66.5,110.5,.311,.419,.563,54.5,61.8,8.9,10.1,.528,16.6,35.0,.237
290,Southern Mississippi,22,6,16,.273,-6.44,4.40,2,7,5,5,1,8,1472,1621,,68.9,97.1,.246,.287,.518,50.1,54.4,9.4,8.1,.486,18.0,28.9,.184
291,Southern Utah,20,12,8,.600,2.01,-2.22,5,4,6,3,5,5,1480,1274,,71.0,102.2,.331,.328,.544,54.6,45.4,10.6,12.2,.514,17.5,29.5,.230
292,Southern,21,8,13,.381,-12.68,-5.57,5,3,5,1,2,12,1424,1476,,68.9,97.9,.289,.308,.511,51.9,51.1,9.0,7.6,.484,17.8,32.4,.193
293,St. Bonaventure,21,13,8,.619,2.46,0.76,5,3,5,3,5,5,1421,1362,,66.3,101.5,.263,.338,.517,52.2,52.6,8.9,11.7,.483,15.7,31.3,.197
294,St. Francis (NY),21,10,11,.476,-11.47,-7.37,4,5,8,1,2,10,1474,1492,,71.4,98.3,.276,.350,.512,50.0,47.6,8.9,10.2,.478,16.1,27.7,.200
295,St. John's (NY),22,13,9,.591,9.99,4.72,2,7,10,4,1,4,1645,1529,,75.1,99.6,.311,.310,.493,49.2,53.5,14.0,12.8,.457,13.9,30.8,.218
296,Stanford,20,15,5,.750,13.99,2.59,4,3,11,2,2,2,1422,1194,,69.1,102.2,.322,.354,.573,50.0,52.4,10.6,11.8,.552,19.2,23.2,.216
297,Stephen F. Austin,21,18,3,.857,4.07,-5.66,9,1,10,1,8,2,1699,1408,,75.3,106.9,.411,.274,.571,55.0,51.5,14.5,9.7,.542,20.1,37.6,.280
