,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
246,Portland,23,9,14,.391,-5.30,0.55,1,7,7,5,2,5,1563,1614,70.2,100.0,.261,.408,.510,53.2,60.8,9.6,7.3,.491,15.9,31.4,.164
247,Prairie View,20,10,10,.500,-4.21,-2.93,6,1,6,0,3,9,1442,1412,73.8,95.1,.484,.402,.548,51.2,50.9,8.1,8.3,.504,22.3,28.9,.340
248,Presbyterian,22,8,14,.364,-14.70,-5.60,5,4,5,4,3,8,1459,1588,67.5,106.3,.329,.449,.553,49.9,51.8,10.8,9.5,.523,15.9,28.0,.232
249,Princeton,15,7,8,.467,-3.41,-0.83,2,0,3,4,2,3,1093,1083,68.2,104.9,.303,.310,.558,47.8,42.6,10.0,9.3,.523,15.5,24.8,.231
250,Providence,21,11,10,.524,9.86,5.77,4,4,8,3,2,4,1487,1401,70.0,94.7,.359,.366,.521,48.7,52.4,9.7,9.6,.484,19.7,28.3,.251
251,Purdue,21,11,10,.524,15.58,8.58,4,6,9,2,1,6,1417,1270,64.2,91.4,.303,.405,.496,46.6,58.1,7.7,10.1,.463,18.9,26.9,.209
252,Quinnipiac,18,10,8,.556,-6.19,-6.75,5,3,7,2,2,5,1268,1258,68.7,101.8,.228,.358,.499,49.2,57.2,9.4,11.4,.471,12.6,28.4,.163
253,Radford,21,12,9,.571,-1.96,-2.64,7,2,6,2,5,6,1466,1357,65.2,99.1,.342,.448,.509,48.4,52.5,6.6,9.2,.477,15.4,28.1,.230
254,Rhode Island,20,15,5,.750,10.53,4.63,7,1,9,1,5,3,1484,1366,72.7,93.4,.264,.385,.492,49.5,50.4,7.9,7.0,.464,18.2,29.6,.181
255,Rice,22,9,13,.409,-6.17,-0.17,1,8,5,5,2,7,1603,1665,72.4,104.6,.264,.367,.540,50.9,44.9,9.1,11.1,.516,14.8,26.8,.184
256,Richmond,21,15,6,.714,9.15,3.15,5,3,9,2,5,2,1592,1466,69.7,99.1,.321,.402,.518,52.5,45.3,8.6,9.1,.484,17.0,28.9,.225
257,Rider,19,11,8,.579,-4.09,-5.20,5,4,5,1,4,7,1385,1364,72.1,99.5,.266,.444,.538,46.2,55.4,9.2,9.2,.516,17.2,23.8,.180
258,Robert Morris,22,11,11,.500,-5.30,-4.96,7,2,6,2,4,9,1524,1491,68.6,98.7,.333,.369,.537,50.1,53.9,9.1,10.6,.505,19.2,28.5,.233
259,Rutgers,21,16,5,.762,16.21,7.11,7,3,15,0,1,4,1503,1276,68.9,88.2,.251,.396,.468,45.4,53.7,8.9,8.9,.436,17.8,26.0,.177
260,Sacramento State,18,11,7,.611,-2.33,-1.77,4,5,8,0,2,7,1095,1019,64.1,88.3,.311,.292,.482,46.5,50.0,8.8,7.9,.432,19.2,25.4,.242
261,Sacred Heart,22,13,9,.591,-5.38,-8.10,6,3,5,2,7,6,1635,1534,70.7,98.6,.236,.337,.492,46.1,55.0,9.7,9.5,.467,14.2,29.5,.161
262,Saint Francis (PA),21,13,8,.619,-4.85,-6.60,6,4,7,2,5,6,1635,1551,71.4,102.9,.299,.384,.553,47.6,48.2,9.0,8.5,.525,17.7,27.2,.213
263,Saint Joseph's,21,4,17,.190,-5.71,5.63,0,8,2,7,2,7,1474,1712,72.7,111.5,.323,.343,.560,51.0,48.9,9.8,13.3,.527,12.1,27.4,.238
264,Saint Louis,21,16,5,.762,8.25,2.35,5,3,11,2,3,2,1496,1365,68.9,92.7,.362,.376,.498,46.1,49.6,9.4,8.2,.460,18.1,26.2,.247
265,Saint Mary's (CA),23,19,4,.826,13.37,2.96,6,2,11,2,4,1,1774,1494,65.0,96.8,.255,.326,.516,47.7,35.5,5.9,8.3,.486,16.4,24.1,.185
