Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
91,Colorado State,MWC,,,15,8,75.6,71.5,4.09,,4.32,,7.14,0.31,7.45,107.46,95.92,11.55
92,Duquesne,A-10,,,15,5,70.7,63.2,7.45,,-0.15,,0.33,6.97,7.31,103.23,90.97,12.27
93,Temple,AAC,,,10,10,67.7,65.5,2.20,,5.11,,0.57,6.74,7.31,98.57,87.24,11.33
94,Furman,Southern,,,18,5,77.7,66.3,11.39,,-1.41,,4.59,2.50,7.09,106.05,95.02,11.03
95,Loyola (IL),MVC,,,14,8,69.2,60.8,8.36,,-0.24,,-1.20,8.24,7.04,103.77,91.29,12.48
96,Bradley,MVC,,,15,7,72.5,64.6,7.95,,0.10,,1.80,5.06,6.87,105.75,94.20,11.54
97,East Tennessee State,Southern,,,18,4,76.0,62.4,13.68,,-1.04,,0.35,6.36,6.70,105.25,94.27,10.98
98,Davidson,A-10,,,10,10,71.8,68.3,3.50,,2.95,,3.69,2.76,6.45,109.45,98.23,11.22
99,Liberty,A-Sun,,,20,3,68.0,51.9,16.09,,-6.17,,-6.59,13.04,6.45,103.57,90.81,12.76
100,Vermont,AEC,,,16,6,69.6,58.5,11.09,,-3.05,,-2.01,8.25,6.23,101.39,90.68,10.71
101,UCLA,Pac-12,,,11,10,69.6,68.3,1.24,,6.05,,1.98,4.07,6.05,107.79,98.16,9.63
102,Miami (FL),ACC,,,11,9,71.7,74.5,-2.75,,8.41,,6.54,-0.88,5.66,108.95,99.94,9.01
103,Northwestern,Big Ten,,,6,14,65.5,68.2,-2.65,,8.23,,0.95,4.63,5.58,105.07,95.99,9.08
104,Georgia State,Sun Belt,,,15,7,79.0,70.3,8.73,,0.90,,8.14,-2.59,5.55,104.35,95.33,9.02
105,Mississippi,SEC,,,10,10,68.8,67.8,1.00,,4.53,,1.61,3.92,5.53,103.20,94.15,9.04
106,Wake Forest,ACC,,,9,11,72.4,73.5,-1.10,,6.60,,6.70,-1.20,5.50,106.79,97.62,9.17
107,Kent State,MAC (East),,,15,6,78.3,69.0,9.33,,-1.44,,4.92,0.33,5.25,105.88,97.25,8.63
108,Central Florida,AAC,,,11,9,68.7,66.6,2.10,,3.09,,-0.63,5.82,5.19,100.31,91.54,8.76
109,Nevada-Las Vegas,MWC,,,11,11,71.6,69.8,1.86,,3.11,,4.12,0.86,4.98,107.06,99.20,7.87
110,Ball State,MAC (West),,,11,9,70.7,62.4,8.30,,-1.62,,-2.07,6.87,4.80,99.19,90.52,8.67
111,Washington State,Pac-12,,,13,9,71.0,67.8,3.27,,1.38,,2.63,2.02,4.65,101.64,93.92,7.72
112,Western Kentucky,CUSA,,,14,7,76.6,71.0,5.57,,0.76,,5.56,-1.10,4.46,107.76,100.14,7.63
113,Northern Colorado,Big Sky,,,13,7,74.3,62.6,11.75,,-2.48,,0.94,3.47,4.41,104.92,96.48,8.44
114,Nebraska,Big Ten,,,7,14,72.1,75.4,-3.29,,7.35,,7.73,-3.66,4.07,104.29,97.33,6.96
115,Stephen F. Austin,Southland,,,18,3,80.9,67.0,13.86,,-5.66,,3.41,0.65,4.07,101.17,94.59,6.58
116,Wright State,Horizon,,,18,4,81.5,69.7,11.82,,-6.17,,5.98,-1.95,4.03,102.89,96.31,6.58
117,Belmont,OVC,,,15,7,81.6,69.4,12.27,,-6.52,,5.24,-1.23,4.01,103.81,97.41,6.41
